,Items
1,soda,root vegetables,semi-finished bread
2,bottled beer,other vegetables
3,fruit/vegetable juice,onions
4,bottled water,herbs
5,butter milk,whipped/sour cream
6,tropical fruit,berries,other vegetables,yogurt,kitchen towels,napkins
7,berries,onions
8,other vegetables,detergent
9,semi-finished bread,newspapers
10,rolls/buns,curd
11,tropical fruit,white wine,curd,grapes
12,whole milk,canned beer
13,dessert,bottled beer
14,salty snack,tropical fruit
15,rolls/buns,misc. beverages,bottled water,decalcifier,semi-finished bread,soda
16,rice,dish cleaner
17,mayonnaise,domestic eggs
18,sausage,fruit/vegetable juice
19,chocolate,brown bread
20,citrus fruit,UHT-milk
21,tropical fruit,detergent
22,onions,abrasive cleaner
23,rolls/buns,shopping bags
24,canned beer,napkins,specialty bar
25,frankfurter,pip fruit
26,whole milk,other vegetables,pip fruit,sparkling wine
27,margarine,margarine
28,whole milk,other vegetables
29,processed cheese,hygiene articles
30,other vegetables,root vegetables
31,yogurt,pasta
32,root vegetables,shopping bags
33,tropical fruit,specialty chocolate
34,sausage,newspapers,salty snack,soda
35,cream cheese ,baking powder
36,ice cream,pip fruit,root vegetables,rolls/buns,long life bakery product
37,chocolate,mustard,white bread
38,rolls/buns,butter
39,canned beer,beverages,specialty bar,other vegetables,make up remover,specialty chocolate,curd
40,pork,long life bakery product
41,candles,rolls/buns,other vegetables,rolls/buns
42,sugar,butter,curd
43,misc. beverages,frozen vegetables
44,condensed milk,waffles,domestic eggs
45,other vegetables,cream cheese 
46,rolls/buns,onions
47,whole milk,other vegetables
48,pork,frozen vegetables,frozen meals,other vegetables,popcorn,oil
49,candles,chewing gum
50,butter milk,dessert
51,rolls/buns,pickled vegetables
52,root vegetables,hard cheese
53,whole milk,dessert
54,shopping bags,pickled vegetables
55,bottled beer,yogurt,soda
56,pastry,domestic eggs
57,snack products,soups
58,yogurt,baking powder
59,other vegetables,shopping bags
60,root vegetables,margarine
61,canned beer,pastry,butter
62,frankfurter,margarine,whole milk,soda,margarine,brown bread,margarine,frozen vegetables
63,Instant food products,specialty chocolate
64,meat,domestic eggs
65,coffee,rolls/buns,soda
66,brown bread,whole milk
67,beverages,newspapers
68,pork,grapes
69,whole milk,bottled beer,rolls/buns
70,pip fruit,dog food,soft cheese,packaged fruit/vegetables,pastry,domestic eggs
71,bottled water,frankfurter,tropical fruit,liquor,specialty chocolate
72,misc. beverages,pastry
73,tropical fruit,yogurt
74,other vegetables,pip fruit
75,pork,whole milk,beverages,soda
76,canned beer,berries,bottled water
77,artif. sweetener,curd
78,rolls/buns,seasonal products
79,root vegetables,shopping bags
80,yogurt,brown bread,newspapers
81,citrus fruit,chicken
82,tropical fruit,candy,salt
83,sausage,hard cheese
84,soda,curd
85,citrus fruit,frozen vegetables
86,coffee,liquor
87,sausage,baking powder
88,soda,fruit/vegetable juice
89,sausage,hygiene articles
90,pet care,pastry
91,berries,sliced cheese
92,onions,pip fruit,whipped/sour cream
93,sausage,bottled water
94,butter milk,pip fruit
95,sausage,other vegetables
96,other vegetables,shopping bags,specialty bar
97,soda,salty snack,butter milk,baking powder
98,bottled beer,herbs
99,beef,beef,margarine
100,margarine,canned vegetables
101,pip fruit,whole milk
102,pip fruit,frankfurter,other vegetables,napkins
103,sausage,chocolate
104,soda,chewing gum
105,rolls/buns,coffee
106,sausage,packaged fruit/vegetables,curd,fruit/vegetable juice
107,soda,margarine
108,canned beer,newspapers
109,ham,whole milk
110,frankfurter,yogurt
111,whole milk,domestic eggs
112,other vegetables,tropical fruit
113,bottled beer,canned fish
114,white wine,whole milk
115,other vegetables,hygiene articles
116,Instant food products,yogurt
117,pip fruit,napkins,cat food
118,hygiene articles,yogurt
119,whole milk,pip fruit
120,condensed milk,chocolate
121,whole milk,candy
122,bottled water,root vegetables,bottled water
123,other vegetables,salty snack
124,root vegetables,dishes
125,hamburger meat,chewing gum
126,other vegetables,frozen vegetables
127,pip fruit,rolls/buns
128,root vegetables,other vegetables,specialty chocolate
129,rolls/buns,rubbing alcohol,pastry
130,rolls/buns,candy
131,tropical fruit,butter
132,other vegetables,oil
133,chewing gum,coffee,margarine
134,chicken,margarine,waffles
135,frozen meals,instant coffee,specialty chocolate
136,detergent,butter
137,misc. beverages,frozen meals
138,whole milk,bottled beer
139,red/blush wine,whole milk,margarine
140,mayonnaise,salt,bottled water
141,yogurt,pot plants
142,sausage,canned fish
143,other vegetables,sliced cheese
144,processed cheese,white bread
145,whole milk,grapes
146,beverages,UHT-milk
147,soda,whole milk
148,frankfurter,root vegetables
149,chicken,citrus fruit
150,tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers
151,pip fruit,whole milk,coffee,salty snack
152,frozen dessert,rolls/buns
153,whipped/sour cream,whole milk
154,canned beer,soda
155,sausage,pastry,whole milk
156,whipped/sour cream,yogurt
157,meat,whole milk
158,beef,specialty chocolate
159,sugar,curd
160,pork,tropical fruit,seasonal products
161,other vegetables,whole milk
162,whole milk,pip fruit
163,beef,pastry
164,root vegetables,cream
